Word, Guesses, Count
bunny,"salet, young, funny, bunny",4
burly,"salet, would, curly, gurly, hurly, murly, burly",7
burnt,"salet, wight, front, turnt, burnt",5
burst,"salet, visit, worst, burst",4
bused,"salet, usher, nudes, fused, mused, bused",6
bushy,"salet, virus, pushy, cushy, gushy, hushy, bushy",7
butch,"salet, youth, dutch, hutch, butch",5
butte,"salet, white, quote, butte",4
buxom,"salet, young, proud, jumbo, buxom",5
buyer,"salet, women, upper, buyer",4
bylaw,"salet, villa, polar, bylaw",4
cabal,"salet, naval, papal, gayal, hadal, jacal, cabal",7
cabby,"salet, wagon, rapid, kayak, jazzy, mammy, cabby",7
cabin,"salet, wagon, ravin, zayin, cabin",5
cable,"salet, large, maple, hayle, wanle, cable",6
cacao,"salet, wagon, radio, mambo, cacao",5
cache,"salet, range, maybe, cache",4
cacti,"salet, watch, tacky, facta, cacti",5
caddy,"salet, wagon, rapid, daddy, baddy, faddy, caddy",7
cadet,"salet, manet, caret, cadet",4
cagey,"salet, raven, cameo, capex, caaed, cakey, cagey",7
cairn,"salet, wagon, ravin, cairn",4
camel,"salet, panel, label, hazel, camel",5
cameo,"salet, raven, cameo",3
canal,"salet, naval, canal",3
candy,"salet, wagon, ranch, panic, candy",5
canny,"salet, wagon, ranch, panic, candy, canny",6
canoe,"salet, range, dance, canoe",4
canon,"salet, wagon, canon",3
caper,"salet, raven, wafer, payer, gaper, japer, caper",7
caput,"salet, yacht, carat, cagot, caput",5
carat,"salet, yacht, carat",3
cargo,"salet, wagon, cargo",3
carol,"salet, naval, carol",3
carry,"salet, wagon, rapid, march, carby, carvy, carry",7
carve,"salet, range, zaire, barbe, marae, parve, varve, carve",8
caste,"salet, waste, taste, paste, caste",5
catch,"salet, watch, match, patch, catch",5
cater,"salet, water, cater",3
catty,"salet, watch, vatic, catty",4
caulk,"salet, naval, labor, madly, waulk, caulk",6
cause,"salet, raise, pause, cause",4
cavil,"salet, naval, cavil",3
cease,"salet, phase, cease",3
cedar,"salet, zebra, ready, cedar",4
cello,"salet, welch, celli, cello",4
chafe,"salet, zebra, ocean, chafe",4
chaff,"salet, woman, quark, ghazi, chaff",5
chain,"salet, woman, grain, chain",4
chair,"salet, woman, quark, chair",4
chalk,"salet, zonal, plaid, jhala, chalk",5
champ,"salet, woman, drama, champ",4
chant,"salet, tract, chaft, chant",4
chaos,"salet, quasi, chaos",3
chard,"salet, woman, quark, diary, chard",5
charm,"salet, woman, drama, charm",4
chart,"salet, tract, chart",3
chase,"salet, phase, chase",3
chasm,"salet, quasi, grass, chasm",4
cheap,"salet, zebra, ocean, cheap",4
cheat,"salet, treat, exeat, cheat",4
check,"salet, wreck, check",3
cheek,"salet, women, upper, chief, cheek",5
cheer,"salet, women, upper, river, dryer, egger, ferer, cheer",8
chess,"salet, whose, chess",3
chest,"salet, quest, prest, doest, egest, fiest, weest, chest",8
chick,"salet, young, which, chick",4
chide,"salet, wreck, niche, chime, chive, chide",6
chief,"salet, women, upper, chief",4
child,"salet, would, child",3
chili,"salet, would, imply, grill, chili",5
chill,"salet, would, imply, grill, chill",5
chime,"salet, wreck, niche, chime",4
china,"salet, woman, ninja, china",4
chirp,"salet, young, which, chimb, chirk, chirr, chirp",7
chock,"salet, young, widow, crock, chock",5
choir,"salet, young, widow, choir",4
choke,"salet, wreck, becke, choke",4
chord,"salet, young, widow, chord",4
chore,"salet, wreck, recur, chore",4
chose,"salet, whose, chose",3
chuck,"salet, young, druid, chuck",4
chump,"salet, young, druid, chuck, chump",5
chunk,"salet, young, drunk, chunk",4
churn,"salet, young, bruin, churn",4
chute,"salet, white, thete, chute",4
cider,"salet, women, upper, river, fiber, cider",6
cigar,"salet, woman, vicar, cigar",4
cinch,"salet, young, pinch, finch, winch, cinch",6
circa,"salet, woman, quark, circa",4
civic,"salet, young, which, cippi, civic",5
civil,"salet, would, vinyl, civil",4
clack,"salet, zonal, plaid, llama, flaky, black, clack",7
claim,"salet, zonal, plaid, glaik, claim",5
clamp,"salet, zonal, plaid, alapa, clamp",5
clang,"salet, zonal, plain, gland, klang, clang",6
clank,"salet, zonal, plain, gland, flank, blank, clank",7
clash,"salet, usual, glass, flash, blash, plash, clash",7
clasp,"salet, usual, glass, flash, clasp",5
class,"salet, usual, glass, class",4
clean,"salet, whale, renal, elvan, clean",5
clear,"salet, whale, renal, blear, clear",5
cleat,"salet, leapt, cleat",3
cleft,"salet, knelt, elect, clept, cleft",5
clerk,"salet, yield, leech, clerk",4
click,"salet, would, vinyl, click",4
cliff,"salet, would, vinyl, click, cliff",5
climb,"salet, would, vinyl, click, cliff, climb",6
cling,"salet, would, vinyl, fling, cling",5
clink,"salet, would, vinyl, fling, blink, clink",6
cloak,"salet, zonal, cloam, cloak",4
clock,"salet, would, lingo, floor, clomb, clock",6
clone,"salet, yield, plume, globe, clone",5
close,"salet, loose, close",3
cloth,"salet, until, cloth",3
cloud,"salet, would, cloud",3
clout,"salet, quilt, clout",3
clove,"salet, yield, plume, globe, clone, clove",6
clown,"salet, would, blowy, clown",4
cluck,"salet, would, plump, flung, blurb, cluck",6
clued,"salet, wheel, ulcer, cluey, clued",5
clump,"salet, would, plump, flump, clump",5
clung,"salet, would, plump, flung, clung",5
coach,"salet, woman, roach, coach",4
coast,"salet, toast, coast",3
cobra,"salet, woman, roach, cobra",4
cocoa,"salet, woman, roach, cobia, cocoa",5
colon,"salet, willy, mulch, color, colog, colon",6
color,"salet, willy, mulch, color",4
comet,"salet, unmet, emmet, remet, comet",5
comfy,"salet, young, worry, hobby, moody, commy, comfy",7
comic,"salet, young, porch, comic",4
comma,"salet, woman, comma",3
conch,"salet, young, robin, condo, conch",5
condo,"salet, young, robin, condo",4
conic,"salet, young, robin, ionic, conic",5
copse,"salet, whose, posse, copse",4
coral,"salet, zonal, royal, moral, coral",5
corer,"salet, women, roger, poker, hover, foyer, boxer, coder, cooer, corer",10
corny,"salet, young, horny, corny",4
couch,"salet, young, bourd, houff, mouch, couch",6
cough,"salet, young, rough, cough",4
could,"salet, would, mould, nould, could",5
count,"salet, wight, front, poynt, count",5
coupe,"salet, wreck, niche, coupe",4
court,"salet, wight, front, torot, yourt, court",6
coven,"salet, women, dozen, coven",4
cover,"salet, women, roger, poker, hover, cover",6
covet,"salet, unmet, octet, covet",4
covey,"salet, women, roger, covey",4
cower,"salet, women, power, rower, bower, dower, vower, cower",8
coyly,"salet, would, nobly, cooly, coyly",5
crack,"salet, woman, quark, crack",4
craft,"salet, tract, craft",3
cramp,"salet, woman, drama, cramp",4
crane,"salet, zebra, grave, frame, crake, crane",6
crank,"salet, woman, ninja, prank, frank, crank",6
crash,"salet, quasi, grass, crash",4
crass,"salet, quasi, grass, brass, crass",5
crate,"salet, tweak, meaty, crate",4
crave,"salet, zebra, grave, crave",4
crawl,"salet, zonal, quail, crawl",4
craze,"salet, zebra, craze",3
crazy,"salet, woman, quark, chair, crazy",5
creak,"salet, zebra, grave, dream, freak, wreak, creak",7
cream,"salet, zebra, grave, dream, cream",5
credo,"salet, wreck, creme, crepy, credo",5
creed,"salet, women, upper, grief, creek, creed",6
creek,"salet, women, upper, grief, creek",5
creep,"salet, women, upper, creep",4
creme,"salet, wreck, creme",3
crepe,"salet, wreck, creme, crepe",4
crept,"salet, theft, inert, erect, crept",5
cress,"salet, whose, press, dress, cress",5
crest,"salet, quest, prest, drest, trest, crest",6
crick,"salet, young, which, prick, brick, crick",6
cried,"salet, women, upper, grief, dried, cried",6
crier,"salet, women, upper, river, drier, crier",6
crime,"salet, wreck, crude, crime",4
crimp,"salet, young, which, crimp",4
crisp,"salet, virus, prism, crisp",4
croak,"salet, woman, chiao, croak",4
crock,"salet, young, widow, crock",4
crone,"salet, wreck, crude, crime, crone",5
crony,"salet, young, irony, drony, crony",5
crook,"salet, young, widow, proof, brook, crook",6
cross,"salet, virus, gross, cross",4
croup,"salet, young, proud, croup",4
crowd,"salet, young, widow, crowd",4
crown,"salet, young, known, brown, crown",5
crude,"salet, wreck, crude",3
cruel,"salet, wheel, revel, cruel",4
crumb,"salet, young, druid, cruck, crumb",5
crump,"salet, young, druid, crumb, crump",5
crush,"salet, virus, brush, crush",4
crust,"salet, visit, worst, trust, brust, frust, crust",7
crypt,"salet, wight, front, crypt",4
cubic,"salet, young, quick, cupid, cubic",5
cumin,"salet, young, unzip, cumin",4
curio,"salet, young, proud, rumor, curio",5
curly,"salet, would, curly",3
curry,"salet, young, puppy, mummy, juicy, curry",6
curse,"salet, whose, verse, nurse, purse, curse",6
curve,"salet, wreck, recur, curve",4
curvy,"salet, young, puppy, mummy, juicy, curry, curdy, curvy",8
cutie,"salet, white, titre, uptie, cutie",5
cyber,"salet, women, upper, river, dryer, cyber",6
cycle,"salet, yield, reply, cycle",4
cynic,"salet, young, windy, cynic",4
daddy,"salet, wagon, rapid, daddy",4
daily,"salet, naval, labor, madly, daily",5
dairy,"salet, wagon, rapid, cardi, dairy",5
daisy,"salet, mason, warps, daisy",4
dally,"salet, valid, baldy, dally",4
dance,"salet, range, dance",3
dandy,"salet, wagon, ranch, mania, nanny, dandy",6
datum,"salet, watch, ratio, fatty, matza, datum",6
daunt,"salet, yacht, tarot, paint, gaunt, jaunt, naunt, daunt",8
dealt,"salet, leapt, dealt",3
death,"salet, tweak, meaty, death",4
debar,"salet, zebra, rebar, kebar, debar",5
debit,"salet, theft, remit, eejit, nepit, debit",6
debug,"salet, wreck, venue, begum, debug",5
debut,"salet, theft, remit, depot, debut",5
decal,"salet, whale, renal, legal, medal, decal",6
decay,"salet, zebra, vegan, decay",4
decor,"salet, wreck, recur, decor",4
decoy,"salet, wreck, niche, decoy",4
decry,"salet, wreck, recur, decry",4
defer,"salet, women, upper, river, dryer, defer",6
deign,"salet, wreck, venue, neigh, feign, deign",6
deity,"salet, white, deity",3
delay,"salet, relay, delay",3
delta,"salet, delta",2
delve,"salet, welch, jelly, melon, delve",5
demon,"salet, wreck, venue, neigh, demon",5
demur,"salet, wreck, rouge, femur, demur",5
denim,"salet, wreck, venue, penny, denim",5
dense,"salet, whose, verse, meuse, fesse, neese, dense",7
depot,"salet, theft, remit, depot",4
depth,"salet, white, teeth, depth",4
derby,"salet, wreck, rouge, ferry, derby",5
deter,"salet, voter, meter, peter, deter",5
detox,"salet, white, trend, detox",4
deuce,"salet, wreck, voice, hence, deuce",5
devil,"salet, yield, glide, devil",4
diary,"salet, woman, quark, diary",4
dicey,"salet, women, upper, chief, diced, dicey",6
digit,"salet, wight, digit",3
dilly,"salet, willy, hilly, filly, billy, gilly, dilly",7
dimly,"salet, would, idyll, dimly",4
diner,"salet, women, under, diner",4
dingo,"salet, young, grown, bingo, dingo",5
dingy,"salet, young, dingy",3
diode,"salet, wreck, venue, oxide, diode",5
dirge,"salet, wreck, rouge, merge, dirge",5
dirty,"salet, youth, witty, nifty, dicty, dirty",6
disco,"salet, virus, missy, disco",4
ditch,"salet, youth, witch, pitch, hitch, ditch",6
ditto,"salet, youth, proto, ditto",4
ditty,"salet, youth, witty, kitty, titty, bitty, nitty, ditty",8
diver,"salet, women, upper, river, diver",5
dizzy,"salet, young, privy, jiffy, dizzy",5
dodge,"salet, wreck, venue, oxide, dodge",5
dodgy,"salet, young, goofy, dodgy",4
dogma,"salet, woman, mocha, korma, dogma",5
doing,"salet, young, going, boing, hoing, doing",6
dolly,"salet, willy, holly, jolly, molly, polly, dolly",7
donor,"salet, young, robin, honor, donor",5
donut,"salet, wight, front, donut",4
dopey,"salet, women, roger, covey, dopey",5
doubt,"salet, wight, front, compt, doubt",5
dough,"salet, young, rough, cough, dough",5
dowdy,"salet, young, worry, howdy, dowdy",5
dowel,"salet, wheel, jewel, vowel, rowel, bowel, dowel",7
downy,"salet, young, horny, donny, downy",5
dowry,"salet, young, worry, dowry",4
dozen,"salet, women, dozen",3
draft,"salet, tract, grant, pratt, draft",5
drain,"salet, woman, grain, brain, drain",5
drake,"salet, zebra, grave, frame, crake, drake",6
drama,"salet, woman, drama",3
drank,"salet, woman, ninja, prank, frank, crank, drank",7
drape,"salet, zebra, grave, frame, crake, irade, drape",7
drawl,"salet, zonal, quail, crawl, wrawl, brawl, drawl",7
drawn,"salet, woman, drawn",3
dread,"salet, zebra, grave, dream, dread",5
dream,"salet, zebra, grave, dream",4
dress,"salet, whose, press, dress",4
dried,"salet, women, upper, grief, dried",5
drier,"salet, women, upper, river, drier",5
drift,"salet, wight, print, britt, drift",5
drill,"salet, would, idyll, drill",4
drink,"salet, young, drink",3
drive,"salet, wreck, urine, prime, drive",5
droit,"salet, wight, print, fruit, orbit, droit",6
droll,"salet, would, oddly, dholl, droll",5
drone,"salet, wreck, urine, prone, grone, drone",6
drool,"salet, would, drool",3
droop,"salet, young, widow, droob, drook, droop",6
dross,"salet, virus, gross, cross, dross",5
drove,"salet, wreck, urine, prove, grove, drove",6
drown,"salet, young, known, brown, crown, drown",6
druid,"salet, young, druid",3
drunk,"salet, young, drunk",3
dryer,"salet, women, upper, river, dryer",5
dryly,"salet, would, idyll, dryly",4
duchy,"salet, young, puppy, mummy, juicy, curry, ducky, duchy",8
dully,"salet, willy, holly, fully, gully, bully, dully",7
dummy,"salet, young, puppy, mummy, dummy",5
dumpy,"salet, young, puppy, jumpy, bumpy, humpy, rumpy, dumpy",8
dunce,"salet, wreck, voice, hence, bunce, punce, dunce",7
dusky,"salet, virus, pushy, fussy, busby, dusky",6
dusty,"salet, truss, musty, dusty",4
dutch,"salet, youth, dutch",3
duvet,"salet, unmet, quiet, buret, duvet",5
dwarf,"salet, woman, bwazi, award, dwarf",5
dwell,"salet, yield, dwell",3
dwelt,"salet, knelt, dwelt",3
dying,"salet, young, hying, nying, dying",5
eager,"salet, raven, wafer, payer, maker, eager",6
eagle,"salet, large, gable, pagle, eagle",5
early,"salet, large, early",3
earth,"salet, earth",2
easel,"salet, lanes, easel",3
eaten,"salet, water, eaten",3
eater,"salet, water, cater, eater",4
ebony,"salet, wreck, venue, enjoy, ebony",5
eclat,"salet, eclat",2
edict,"salet, theft, remit, edict",4
edify,"salet, wreck, venue, epoxy, edify",5
eerie,"salet, wreck, rouge, nerve, eerie",5
egret,"salet, unmet, octet, greet, egret",5
eight,"salet, theft, eight",3
eject,"salet, theft, inert, eject",4
eking,"salet, wreck, knife, eking",4
elate,"salet, plate, alate, blate, elate",5
elbow,"salet, yield, plume, elbow",4
elder,"salet, wheel, ulcer, older, elder",5
elect,"salet, knelt, elect",3
elegy,"salet, yield, gleby, elegy",4
elfin,"salet, yield, olive, elchi, elfin",5
elide,"salet, yield, glide, elide",4
elite,"salet, title, elite",3
elope,"salet, yield, plume, elope",4
elude,"salet, yield, lodge, blude, elude",5
email,"salet, whale, learn, email",4
embed,"salet, women, mixed, umped, embed",5
ember,"salet, women, mixed, ember",4
emcee,"salet, women, mixed, ember, emcee",5
empty,"salet, white, petty, empty",4
enact,"salet, treat, exact, enact",4
endow,"salet, wreck, endow",3
enema,"salet, zebra, omega, enema",4
